s1_bag_x,s1_bag_y,s1_fence_x,s1_fence_y,s1_center_x,s1_center_y,s2_bag_x,s2_bag_y,s2_fence_x,s2_fence_y,s2_center_x,s2_center_y,s3_bag_x,s3_bag_y,s3_fence_x,s3_fence_y,s3_center_x,s3_center_y,s4_bag_x,s4_bag_y,s4_fence_x,s4_fence_y,s4_center_x,s4_center_y,s5_bag_x,s5_bag_y,s5_fence_x,s5_fence_y,s5_center_x,s5_center_y,s6_bag_x,s6_bag_y,s6_fence_x,s6_fence_y,s6_center_x,s6_center_y
3.528593268,3.26808935,,,,,686.0412843,0.9723364677,,,,,,,,,,,22.54559897,2.660959752,,,,,1.176606189,4.172859371,,,,,23.92421623,3.583632151,,,,
2.936651172,3.265502366,,,,,685.6489207,0.9723285724,,,,,,,,,,,19.84542537,2.64899944,,,,,0.6905576696,4.169487589,,,,,22.6851366,3.578833464,,,,
2.736775836,3.2644151,,,,,642.8960725,0.9714370499,,,,,,,,,,,16.99172813,2.636258819,,,,,0.5529002205,4.168193376,,,,,18.46320489,3.561668611,,,,
2.669712045,3.263785481,,,,,477.6553869,0.9677626167,,,,,,,,,,,9.280014905,2.600971468,,,,,0.2778931784,4.164938851,,,,,15.14631839,3.546710503,,,,
2.11941051,3.258362385,,,,,252.5107266,0.962664673,,,,,,,,,,,9.170649774,2.600148409,,,,,0.1057568318,4.162545978,,,,,14.74285685,3.544414883,,,,
1.607906632,3.252378716,,,,,249.0184166,0.9625776658,,,,,,,,,,,6.276606596,2.576806329,,,,,0.02265025895,4.161219901,,,,,14.23332735,3.541144986,,,,
1.282069453,3.248414216,,,,,243.9114022,0.9624432812,,,,,,,,,,,3.301784951,2.549656939,,,,,0.01722496487,4.160926332,,,,,4.851876702,3.46218905,,,,
0.9550895259,3.244154858,,,,,138.1817114,0.9588830098,,,,,,,,,,,3.188743115,2.548479864,,,,,0.01321462147,4.160466325,,,,,4.514664159,3.458891702,,,,
0.5175566589,3.237450028,,,,,135.8398321,0.9587875517,,,,,,,,,,,2.019412119,2.534050135,,,,,-0.0001543012742,4.158660682,,,,,3.216587671,3.444859547,,,,
0.08829901211,3.23032286,,,,,108.1614598,0.9572333623,,,,,,,,,,,1.525890596,2.526175207,,,,,-0.0002242112405,4.158554657,,,,,3.03190643,3.44253845,,,,
0.03016173428,3.229248008,,,,,99.30700789,0.9566307188,,,,,,,,,,,0.7045239474,2.510717351,,,,,-0.0002707503863,4.158009611,,,,,0.5425297165,3.404037183,,,,
0.006050337562,3.228586457,,,,,88.2306325,0.9557964713,,,,,,,,,,,0.07195564371,2.497448265,,,,,-0.0004502117055,4.151265154,,,,,0.1702277255,3.395855072,,,,
0.001464281672,3.228420549,,,,,75.16924251,0.9547895455,,,,,,,,,,,0.003539589163,2.495724796,,,,,-0.0005174838724,4.148672347,,,,,0.1129697668,3.394295837,,,,
0.001029312408,3.228401341,,,,,68.95838698,0.954286011,,,,,,,,,,,0.002099244595,2.495651276,,,,,-0.0008845420625,4.017376494,,,,,0.02500273181,3.389751684,,,,
0.0002048224735,3.22822142,,,,,68.0776762,0.9542105712,,,,,,,,,,,-0.0003232732074,2.495527498,,,,,-0.0008166573798,3.961086993,,,,,0.01369044782,3.389108763,,,,
-4.83E-05,3.228163778,,,,,66.12130335,0.9540409431,,,,,,,,,,,-0.0004781897912,2.488953236,,,,,-0.0006918728768,3.920843686,,,,,0.004688698117,3.388247263,,,,
-0.0001233003841,3.228061996,,,,,63.49628894,0.9537977096,,,,,,,,,,,-0.0006336992151,2.397772518,,,,,-0.0006305250475,3.916626398,,,,,0.002297345676,3.386256475,,,,
-0.0005307181914,3.219331661,,,,,21.26889092,0.9496556757,,,,,,,,,,,-0.0008043477871,2.283695687,,,,,-1.25E-05,3.896206461,,,,,0.0004305447645,3.383853149,,,,
-0.001201829761,3.058218659,,,,,18.62314292,0.9493282427,,,,,,,,,,,-0.0007234792249,2.060019771,,,,,690.2334036,4.241862697,,,,,0.000148074827,3.382233993,,,,
-0.001238747976,2.986797151,,,,,12.84211031,0.9479907483,,,,,,,,,,,-0.0007039717659,2.060019707,,,,,,,,,,,0.000108152355,3.381269571,,,,
-0.00107522245,2.986796636,,,,,8.722649697,0.9469491095,,,,,,,,,,,-0.0007012681519,2.060019698,,,,,,,,,,,-8.83E-06,3.375360747,,,,
-0.0001645482254,2.986796402,,,,,7.510500067,0.9466274205,,,,,,,,,,,1.45E-05,2.060019381,,,,,,,,,,,-0.0001372955757,3.368189341,,,,
0.0004037976967,2.986796314,,,,,4.998565411,0.9458878673,,,,,,,,,,,0.0001891248863,2.06001932,,,,,,,,,,,-0.0004005960665,3.34786847,,,,
